Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu]
745A,,B,1896-04-17T12:00,65.63,-001.00,,0,4.20,35.020
745A,,B,1896-04-18T12:00,68.33,-002.00,,0,5.00,35.071
58HE,,B,1896-05-14T21:30,65.27,-003.47,,0,5.00,34.861
5899,11,B,1897-03-10T08:00,68.25,-000.27,,0,4.50,35.211
5899,12,B,1897-03-10T12:00,68.65,-000.32,,0,4.20,35.022
5899,13,B,1897-03-10T16:00,69.03,-000.35,,0,4.50,35.022
5899,14,B,1897-03-10T21:00,69.47,-000.47,,0,4.00,35.022
58HE,56,B,1897-04-11T04:30,67.78,-004.67,,0,0.50,34.679
58HE,57,B,1897-04-11T08:00,67.95,-003.10,,0,2.70,34.901
58HE,58,B,1897-04-11T13:00,68.07,-001.80,,0,3.20,35.072
58HE,59,B,1897-04-11T18:00,68.25,-001.05,,0,3.10,35.102
58HE,60,B,1897-04-11T23:00,68.42,-000.30,,0,4.50,35.072
5899,24,B,1897-05-01T13:00,69.90,-003.75,,0,3.00,34.790
58HE,91,B,1897-05-14T04:00,65.10,-004.35,,0,3.50,34.749
581D,650,B,1898-03-09T08:00,68.00,-000.43,,0,4.40,35.033
58HE,791,B,1898-05-13T06:30,65.02,-004.80,,0,3.00,34.740
58HE,815,B,1898-05-21T06:00,65.57,-004.70,,0,3.70,34.891
58HE,816,B,1898-05-21T07:30,65.40,-004.25,,0,3.80,34.891
58HE,817,B,1898-05-21T09:00,65.23,-003.80,,0,4.00,34.750
58HE,818,B,1898-05-21T10:30,65.08,-003.33,,0,5.00,34.821
581D,679,B,1898-07-03T20:00,65.47,-004.63,,0,8.05,34.650
773A,35,B,1899-06-04T00:00,65.53,-002.07,,0,3.90,34.823
773A,36,B,1899-06-04T03:30,65.82,-002.23,,0,4.50,34.913
773A,37,B,1899-06-04T08:45,66.28,-002.48,,0,5.10,35.023
773A,38,B,1899-06-04T12:30,66.57,-002.65,,0,3.90,34.913
773A,39,B,1899-06-04T17:00,66.75,-002.92,,0,4.70,35.003
773A,40,B,1899-06-04T20:00,66.88,-003.08,,0,3.70,34.923
773A,41,B,1899-06-05T00:00,67.02,-003.28,,0,4.20,34.963
773A,42,B,1899-06-05T04:00,67.15,-003.48,,0,3.50,34.913
773A,43,B,1899-06-05T08:00,67.25,-003.67,,0,4.20,35.003
773A,44,B,1899-06-05T20:00,67.32,-004.18,,0,4.40,35.023
773A,45,B,1899-06-06T00:00,67.42,-004.67,,0,3.90,34.983
773A,289,B,1899-09-04T08:00,67.10,-004.35,,0,8.60,34.983
773A,290,B,1899-09-04T12:00,66.85,-003.70,,0,8.20,34.733
773A,291,B,1899-09-04T20:00,66.67,-003.00,,0,9.20,34.943
773A,292,B,1899-09-05T00:00,66.38,-002.80,,0,9.60,35.162
773A,293,B,1899-09-05T08:00,66.23,-002.83,,0,9.60,34.923
773A,294,B,1899-09-05T12:00,66.17,-002.63,,0,9.60,34.963
773A,295,B,1899-09-05T16:00,66.02,-002.58,,0,9.60,34.923
773A,296,B,1899-09-05T20:00,65.87,-002.62,,0,9.70,35.023
773A,297,B,1899-09-06T00:00,65.68,-002.63,,0,9.60,34.893
773A,298,B,1899-09-06T04:00,65.47,-002.65,,0,9.50,34.873
773A,299,B,1899-09-06T08:00,65.22,-002.65,,0,9.80,34.873
773A,300,B,1899-09-06T12:00,65.00,-002.67,,0,10.00,34.923
26AN,337,B,1900-06-22T12:00,65.32,-002.00,,0,8.80,35.160
26AN,338,B,1900-06-22T20:00,65.92,-002.67,,0,8.70,35.090
26AN,339,B,1900-06-23T04:00,66.58,-003.43,,0,7.40,34.940
26AN,340,B,1900-06-23T12:00,67.32,-004.35,,0,7.30,35.040
26AN,341,B,1900-06-23T20:00,67.85,-004.87,,0,7.00,35.020
581H,1716,B,1901-03-14T00:00,66.50,-000.12,,0,5.20,35.240
581H,1717,B,1901-03-14T04:00,66.80,-000.38,,0,5.00,35.170
581H,1718,B,1901-03-14T08:00,67.12,-000.67,,0,5.00,35.240
581H,1719,B,1901-03-14T12:00,67.52,-001.08,,0,5.00,35.120
581H,1720,B,1901-03-14T14:30,67.82,-001.22,,0,4.20,35.100
581H,1721,B,1901-03-14T17:30,68.00,-001.67,,0,4.20,35.090
581H,1722,B,1901-03-14T20:00,68.25,-002.05,,0,4.20,35.120
581H,1723,B,1901-03-14T22:00,68.42,-002.35,,0,4.20,35.100
581H,1724,B,1901-03-15T00:30,68.63,-002.63,,0,4.00,35.140
581H,1725,B,1901-03-15T03:30,68.77,-002.82,,0,4.00,35.160
581H,1726,B,1901-03-15T07:00,69.02,-003.03,,0,3.50,35.170
581H,1727,B,1901-03-15T10:00,69.33,-002.85,,0,3.50,35.160
581H,1728,B,1901-03-15T13:00,69.63,-002.72,,0,3.50,35.100
581H,1729,B,1901-03-15T16:00,69.98,-002.63,,0,3.50,35.140
581K,1864,B,1901-04-13T12:00,65.10,-004.87,,0,3.50,34.950
581H,1762,B,1901-04-29T18:00,69.87,-002.65,,0,3.20,35.070
581H,1763,B,1901-04-30T12:00,69.72,-004.35,,0,2.70,35.000
58HE,108,B,1901-05-16T13:00,67.43,-002.10,,0,4.5,35.07
58HE,108,B,1901-05-16T13:00,67.43,-002.10,,10,4.72,35.06
5801,1480,B,1901-05-16T14:00,67.43,-002.10,,0,4.50,35.070
77VE,4527,B,1902-03-13T16:00,65.75,-000.27,,0,4.00,35.130
77VE,4528,B,1902-03-13T20:00,66.03,-000.62,,0,4.00,35.250
77VE,4529,B,1902-03-14T04:00,66.32,-000.83,,0,3.20,35.040
77VE,4530,B,1902-03-14T08:00,66.60,-001.13,,0,2.20,35.070
77VE,4531,B,1902-03-14T12:00,66.87,-001.33,,0,2.70,35.140
77VE,4532,B,1902-03-14T16:00,67.22,-001.10,,0,3.00,35.140
77VE,4533,B,1902-03-14T20:00,67.57,-000.83,,0,2.70,35.190
77VE,4534,B,1902-03-15T04:00,67.93,-000.70,,0,3.20,35.160
77VE,4535,B,1902-03-15T12:00,68.13,-000.43,,0,4.00,35.160
77VE,4536,B,1902-03-15T17:00,68.45,-000.40,,0,3.00,35.130
77VE,4537,B,1902-03-15T21:00,68.77,-000.37,,0,3.00,35.300
77VE,4538,B,1902-03-16T00:00,69.03,-000.33,,0,3.00,35.230
77VE,4539,B,1902-03-16T04:00,69.35,-000.30,,0,3.00,35.320
77VE,4540,B,1902-03-16T08:00,69.67,-000.32,,0,3.00,35.190
58HE,4283,B,1902-05-15T22:00,67.55,-004.97,,0,4.00,35.020
58HE,131,B,1902-05-15T23:00,67.55,-004.82,,0,4.0,34.97
58HE,4284,B,1902-05-16T00:00,67.55,-004.82,,0,4.00,34.960
58HE,4285,B,1902-05-16T02:00,67.57,-004.13,,0,4.10,34.960
58HE,4286,B,1902-05-16T04:00,67.60,-003.43,,0,4.00,34.960
58HE,4287,B,1902-05-16T06:00,67.63,-002.83,,0,4.20,35.040
58HE,4288,B,1902-05-16T08:00,67.67,-002.20,,0,4.20,35.110
58HE,132,B,1902-05-16T09:00,67.67,-002.00,,0,4.2,35.10
58HE,4289,B,1902-05-16T10:00,67.67,-001.92,,0,4.20,35.100
58HE,4290,B,1902-05-16T13:00,67.30,-001.07,,0,5.00,35.110
58HE,4291,B,1902-05-16T16:00,67.33,-000.23,,0,5.30,35.110
581C,3913,B,1902-06-13T20:00,65.00,-003.73,,0,4.90,35.020
581C,3930,B,1902-06-21T12:00,65.00,-004.70,,0,6.30,35.050
58MS,31,B,1903-02-14T08:00,65.12,-001.15,3000,0,3.23,34.79
