Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu]
58MS,31,B,1903-02-14T08:00,65.12,-001.15,3000,10,3.30,34.80
58MS,32,B,1903-02-14T16:00,65.72,-003.02,,0,2.78,34.85
58MS,57,B,1903-05-31T03:00,67.38,-002.57,,0,4.9,34.84
58MS,57,B,1903-05-31T03:00,67.38,-002.57,,10,4.91,34.87
58MS,15,B,1903-09-03T11:00,66.17,-002.03,600,0,10.08,35.06
58MS,15,B,1903-09-03T11:00,66.17,-002.03,600,10,8.46,35.07
58MS,57,B,1904-05-31T21:00,67.80,-004.90,,0,4.95,34.86
58MS,57,B,1904-05-31T21:00,67.80,-004.90,,10,4.79,34.91
58MS,58,B,1904-06-01T06:00,67.73,-002.10,,0,5.85,35.06
58MS,58,B,1904-06-01T06:00,67.73,-002.10,,10,5.81,35.05
58MS,75,B,1904-06-08T06:00,65.02,-004.53,1830,0,6.59,34.82
58MS,75,B,1904-06-08T06:00,65.02,-004.53,1830,10,6.31,34.80
9999,5259,B,1905-11-26T00:00,65.57,-001.77,,0,5.6,35.10
58MS,10,B,1905-11-26T06:00,65.38,-000.13,700,0,6.0,
58MS,11,B,1905-11-26T14:00,65.57,-001.77,600,0,5.6,35.10
9999,5282,B,1905-11-27T00:00,66.10,-000.43,,0,6.0,35.20
58MS,12,B,1905-11-27T12:00,66.10,-000.43,600,0,6.0,35.20
58AH,48,B,1935-06-11T16:00,69.18,-004.00,,0,4.79,35.10
58AH,48,B,1935-06-11T16:00,69.18,-004.00,,10,4.82,35.08
58AH,49,B,1935-06-11T21:00,69.20,-003.00,,0,5.55,35.15
58AH,49,B,1935-06-11T21:00,69.20,-003.00,,10,5.65,35.13
58AH,50,B,1935-06-12T02:00,69.20,-002.00,,0,5.53,35.16
58AH,50,B,1935-06-12T02:00,69.20,-002.00,,10,5.61,35.14
58AH,51,B,1935-06-12T09:00,69.20,-001.00,,0,5.93,35.21
58AH,51,B,1935-06-12T09:00,69.20,-001.00,,10,6.00,35.18
58AH,74,B,1935-06-21T18:00,67.87,-000.13,,0,7.23,35.13
58AH,74,B,1935-06-21T18:00,67.87,-000.13,,10,7.24,35.19
58AH,75,B,1935-06-21T23:00,67.85,-001.00,,0,7.30,35.18
58AH,75,B,1935-06-21T23:00,67.85,-001.00,,10,7.30,35.19
58AH,76,B,1935-06-22T04:00,67.83,-001.90,,0,6.85,35.18
58AH,76,B,1935-06-22T04:00,67.83,-001.90,,10,6.85,35.17
58AH,77,B,1935-06-22T08:00,67.82,-002.73,,0,6.20,35.12
58AH,77,B,1935-06-22T08:00,67.82,-002.73,,10,6.10,35.09
58AH,78,B,1935-06-22T14:00,67.80,-003.57,,0,6.07,35.11
58AH,78,B,1935-06-22T14:00,67.80,-003.57,,10,5.98,35.10
58AH,79,B,1935-06-22T19:00,67.78,-004.47,,0,5.25,35.01
58AH,79,B,1935-06-22T19:00,67.78,-004.47,,10,5.22,35.02
58AH,86,B,1935-06-24T18:00,66.77,-004.92,,0,5.43,34.92
58AH,86,B,1935-06-24T18:00,66.77,-004.92,,10,5.38,34.91
58AH,87,B,1935-06-24T22:00,66.82,-004.08,,0,5.33,34.91
58AH,87,B,1935-06-24T22:00,66.82,-004.08,,10,5.47,34.90
58AH,88,B,1935-06-25T02:00,66.88,-003.23,,0,6.25,34.96
58AH,88,B,1935-06-25T02:00,66.88,-003.23,,10,6.24,34.96
58AH,89,B,1935-06-25T06:00,66.95,-002.40,,0,6.53,34.99
58AH,89,B,1935-06-25T06:00,66.95,-002.40,,10,6.51,34.98
58AH,90,B,1935-06-25T11:00,67.03,-001.60,,0,7.17,35.14
58AH,90,B,1935-06-25T11:00,67.03,-001.60,,10,7.08,35.12
58AH,91,B,1935-06-25T16:00,67.03,-000.48,,0,8.75,35.23
58AH,91,B,1935-06-25T16:00,67.03,-000.48,,10,8.53,35.21
58AH,121,B,1935-07-03T09:00,66.00,-000.40,,0,9.41,34.93
58AH,121,B,1935-07-03T09:00,66.00,-000.40,,10,9.43,35.16
58AH,122,B,1935-07-03T14:00,66.00,-001.47,,0,9.20,35.13
58AH,122,B,1935-07-03T14:00,66.00,-001.47,,10,9.24,35.14
58AH,123,B,1935-07-03T20:00,66.00,-002.48,,0,8.84,35.04
58AH,123,B,1935-07-03T20:00,66.00,-002.48,,10,8.84,35.05
58AH,124,B,1935-07-03T23:59,66.00,-003.48,,0,7.70,34.84
58AH,124,B,1935-07-03T23:59,66.00,-003.48,,10,7.52,34.82
58AH,125,B,1935-07-04T06:00,66.00,-004.48,,0,7.21,34.85
58AH,125,B,1935-07-04T06:00,66.00,-004.48,,10,6.98,34.85
58AH,130,B,1935-07-05T07:00,65.02,-004.22,,0,8.08,34.86
58AH,130,B,1935-07-05T07:00,65.02,-004.22,,10,8.16,34.85
58AH,131,B,1935-07-05T13:00,65.02,-003.22,,0,8.30,34.83
58AH,131,B,1935-07-05T13:00,65.02,-003.22,,10,8.22,34.80
58AH,132,B,1935-07-05T19:00,65.03,-002.00,,0,9.02,35.02
58AH,132,B,1935-07-05T19:00,65.03,-002.00,,10,9.11,35.01
58AH,133,B,1935-07-05T23:59,65.03,-000.97,,0,8.82,34.92
58AH,133,B,1935-07-05T23:59,65.03,-000.97,,10,8.91,34.93
58AH,134,B,1935-07-06T05:00,65.03,-000.08,,0,10.29,35.20
58AH,134,B,1935-07-06T05:00,65.03,-000.08,,10,10.33,35.19
32EQ,367,B,1935-10-06T00:00,65.7300,-003.1000,,0,7.79,34.93
32EQ,367,B,1935-10-06T00:00,65.7300,-003.1000,,5,7.82,34.93
32EQ,367,B,1935-10-06T00:00,65.7300,-003.1000,,10,7.85,34.93
32EQ,368,B,1935-10-07T00:00,67.7080,-003.2000,,0,7.35,35.03
32EQ,368,B,1935-10-07T00:00,67.7080,-003.2000,,5,7.31,35.02
32EQ,368,B,1935-10-07T00:00,67.7080,-003.2000,,10,7.27,35.02
58AH,169,B,1936-07-03T02:00,65.03,-002.97,,0,8.73,34.90
58AH,169,B,1936-07-03T02:00,65.03,-002.97,,10,8.62,34.90
58AH,170,B,1936-07-03T04:00,65.03,-002.78,,0,9.28,35.00
58AH,170,B,1936-07-03T04:00,65.03,-002.78,,10,9.13,34.99
58AH,171,B,1936-07-03T06:00,65.03,-002.23,,0,9.07,35.00
58AH,171,B,1936-07-03T06:00,65.03,-002.23,,10,8.95,34.98
58AH,172,B,1936-07-03T10:00,65.03,-001.82,,0,9.10,35.03
58AH,172,B,1936-07-03T10:00,65.03,-001.82,,10,8.86,35.00
58AH,173,B,1936-07-03T13:00,65.03,-001.45,,0,9.65,35.01
58AH,173,B,1936-07-03T13:00,65.03,-001.45,,10,9.41,34.98
58AH,174,B,1936-07-03T16:00,65.00,-001.00,,0,10.33,35.21
58AH,174,B,1936-07-03T16:00,65.00,-001.00,,10,10.13,35.18
58AH,175,B,1936-07-03T18:00,65.00,-000.62,,0,10.32,35.28
58AH,175,B,1936-07-03T18:00,65.00,-000.62,,10,10.20,35.28
58AH,176,B,1936-07-03T22:00,65.00,-000.27,,0,10.15,35.16
58AH,176,B,1936-07-03T22:00,65.00,-000.27,,10,10.06,35.16
58AH,224,B,1936-07-11T07:00,65.50,-000.13,,0,11.69,35.16
58AH,224,B,1936-07-11T07:00,65.50,-000.13,,10,10.99,35.17
58AH,225,B,1936-07-11T09:00,65.50,-000.55,,0,11.25,35.20
58AH,225,B,1936-07-11T09:00,65.50,-000.55,,10,11.04,35.18
58AH,226,B,1936-07-11T11:00,65.52,-000.93,,0,11.86,35.14
58AH,226,B,1936-07-11T11:00,65.52,-000.93,,10,10.80,35.12
58AH,227,B,1936-07-11T13:00,65.52,-001.33,,0,10.89,35.07
58AH,227,B,1936-07-11T13:00,65.52,-001.33,,10,10.74,35.05
58AH,228,B,1936-07-11T15:00,65.52,-001.78,,0,10.78,35.04
58AH,228,B,1936-07-11T15:00,65.52,-001.78,,10,10.60,35.03
58AH,229,B,1936-07-11T16:00,65.52,-002.18,,0,10.05,34.96
58AH,229,B,1936-07-11T16:00,65.52,-002.18,,10,9.88,34.93
58AH,230,B,1936-07-11T18:00,65.52,-002.58,,0,10.08,34.96
58AH,230,B,1936-07-11T18:00,65.52,-002.58,,10,9.92,34.94
58AH,231,B,1936-07-11T20:00,65.52,-003.00,,0,10.05,34.94
58AH,231,B,1936-07-11T20:00,65.52,-003.00,,10,9.90,34.92
58AH,232,B,1936-07-12T04:00,66.02,-003.00,,0,9.06,34.88
58AH,232,B,1936-07-12T04:00,66.02,-003.00,,10,8.93,34.87
58AH,233,B,1936-07-12T07:00,66.02,-002.58,,0,8.92,34.92
58AH,233,B,1936-07-12T07:00,66.02,-002.58,,10,8.78,34.89
58AH,234,B,1936-07-12T09:00,66.02,-002.18,,0,9.95,35.03
58AH,234,B,1936-07-12T09:00,66.02,-002.18,,10,9.81,35.00
58AH,235,B,1936-07-12T12:00,66.02,-001.73,,0,9.20,34.98
58AH,235,B,1936-07-12T12:00,66.02,-001.73,,10,9.06,34.98
58AH,236,B,1936-07-12T15:00,66.02,-001.33,,0,10.40,35.08
58AH,236,B,1936-07-12T15:00,66.02,-001.33,,10,10.26,35.06
58AH,237,B,1936-07-12T17:00,66.02,-000.92,,0,11.01,35.18
58AH,237,B,1936-07-12T17:00,66.02,-000.92,,10,10.90,35.16
58AH,238,B,1936-07-12T19:00,66.02,-000.50,,0,9.99,35.07
58AH,238,B,1936-07-12T19:00,66.02,-000.50,,10,9.80,35.06
58AH,239,B,1936-07-12T23:00,66.02,-000.08,,0,10.55,35.10
58AH,239,B,1936-07-12T23:00,66.02,-000.08,,10,10.42,35.09
58AH,287,B,1936-07-19T10:00,66.53,-000.17,,0,10.87,35.12
58AH,287,B,1936-07-19T10:00,66.53,-000.17,,10,10.82,35.12
58AH,288,B,1936-07-19T12:00,66.53,-000.60,,0,9.99,35.05
58AH,288,B,1936-07-19T12:00,66.53,-000.60,,10,9.94,35.05
58AH,289,B,1936-07-19T14:00,66.50,-000.88,,0,10.15,35.09
58AH,289,B,1936-07-19T14:00,66.50,-000.88,,10,10.26,35.08
58AH,290,B,1936-07-19T16:00,66.50,-001.33,,0,9.71,35.04
58AH,290,B,1936-07-19T16:00,66.50,-001.33,,10,9.61,35.02
58AH,291,B,1936-07-19T19:00,66.50,-001.75,,0,9.39,34.96
58AH,291,B,1936-07-19T19:00,66.50,-001.75,,10,9.30,34.96
58AH,292,B,1936-07-19T20:00,66.50,-002.17,,0,9.07,34.96
58AH,292,B,1936-07-19T20:00,66.50,-002.17,,10,9.27,34.94
58AH,293,B,1936-07-19T22:00,66.50,-002.58,,0,9.27,35.04
58AH,293,B,1936-07-19T22:00,66.50,-002.58,,10,9.42,35.04
58AH,294,B,1936-07-19T23:54,66.50,-003.00,,0,9.37,34.96
58AH,294,B,1936-07-19T23:54,66.50,-003.00,,10,9.33,34.95
58AH,295,B,1936-07-20T05:00,66.25,-002.58,,0,9.78,35.00
58AH,295,B,1936-07-20T05:00,66.25,-002.58,,10,9.72,34.97
58AH,296,B,1936-07-20T08:00,66.02,-002.15,,0,10.21,35.00
58AH,296,B,1936-07-20T08:00,66.02,-002.15,,10,10.20,34.99
58AH,297,B,1936-07-20T12:00,65.77,-001.68,,0,10.89,35.07
58AH,297,B,1936-07-20T12:00,65.77,-001.68,,10,10.80,35.06
58AH,298,B,1936-07-20T16:00,65.50,-001.17,,0,10.88,35.18
58AH,298,B,1936-07-20T16:00,65.50,-001.17,,10,10.83,35.15
58AH,299,B,1936-07-20T20:00,65.23,-000.63,,0,11.47,35.20
58AH,299,B,1936-07-20T20:00,65.23,-000.63,,10,11.54,35.17
58AH,300,B,1936-07-20T23:54,65.00,-000.13,,0,12.17,35.24
58AH,300,B,1936-07-20T23:54,65.00,-000.13,,10,12.10,35.19
58UR,26,B,1948-07-08T00:00,68.00,-002.33,,0,7.9,35.16
58UR,26,B,1948-07-08T00:00,68.00,-002.33,,10,8.05,35.13
26DA,157,B,1948-08-01T00:00,65.22,-004.43,3230,0,9.71,35.19
26DA,157,B,1948-08-01T00:00,65.22,-004.43,3230,10,9.70,35.17
58VH,66,B,1949-07-01T06:00,69.77,-001.53,2500,0,8.30,35.194
58VH,66,B,1949-07-01T06:00,69.77,-001.53,2500,10,8.52,35.166
58VH,67,B,1949-07-01T14:00,69.87,-003.92,2500,0,7.30,35.079
58VH,67,B,1949-07-01T14:00,69.87,-003.92,2500,10,7.41,35.010
77SK,100,B,1949-07-23T00:00,65.08,-001.50,,0,9.97,35.02
77SK,100,B,1949-07-23T00:00,65.08,-001.50,,10,9.96,35.02
9099,5746,B,1949-07-23T00:00,65.082,-001.500,500,0.0,9.970,35.020
9099,5746,B,1949-07-23T00:00,65.082,-001.500,500,10.0,9.960,35.020
9099,6972,B,1950-06-15T13:00,68.250,-002.750,,10.0,6.200,35.160
9099,6970,B,1950-06-15T21:00,67.832,-003.700,,0.0,6.180,35.100
9099,6970,B,1950-06-15T21:00,67.832,-003.700,,10.0,6.100,35.120
58GS,146,B,1950-07-16T13:00,65.62,-002.00,3302,0,10.90,35.169
58GS,146,B,1950-07-16T13:00,65.62,-002.00,3302,10,9.91,35.181
58GS,147,B,1950-07-17T07:00,65.37,-004.72,3880,0,8.95,34.999
58GS,147,B,1950-07-17T07:00,65.37,-004.72,3880,10,8.85,34.999
77SK,39,B,1950-07-23T00:00,65.00,-001.50,,0,11.30,35.05
77SK,39,B,1950-07-23T00:00,65.00,-001.50,,10,11.25,34.91
9099,7374,B,1950-07-23T00:00,65.000,-001.500,500,0.0,11.300,35.050
9099,7374,B,1950-07-23T00:00,65.000,-001.500,500,10.0,11.250,34.910
26DA,151,B,1950-08-05T00:00,65.42,-003.00,3450,0,11.20,34.96
26DA,151,B,1950-08-05T00:00,65.42,-003.00,3450,10,11.12,34.97
26DA,152,B,1950-08-05T00:00,65.35,-004.43,3500,0,10.88,34.96
26DA,152,B,1950-08-05T00:00,65.35,-004.43,3500,10,10.67,34.97
9099,6971,B,1950-12-11T07:00,68.500,-001.432,,0.0,4.700,
9099,6971,B,1950-12-11T07:00,68.500,-001.432,,10.0,4.790,
9099,6973,B,1950-12-11T12:00,68.532,-002.250,,0.0,5.100,
9099,6973,B,1950-12-11T12:00,68.532,-002.250,,10.0,5.080,
9099,6974,B,1950-12-13T11:00,68.617,-003.167,,0.0,4.300,
9099,6974,B,1950-12-13T11:00,68.617,-003.167,,10.0,4.400,
9099,6975,B,1950-12-13T17:00,68.667,-004.000,,0.0,4.500,
9099,6975,B,1950-12-13T17:00,68.667,-004.000,,10.0,4.440,
9099,6969,B,1950-12-16T11:00,65.867,-003.050,,0.0,5.300,
9099,6969,B,1950-12-16T11:00,65.867,-003.050,,10.0,5.350,
9099,2639,B,1950-12-17T00:00,65.000,-002.750,,0.0,5.700,
9099,2639,B,1950-12-17T00:00,65.000,-002.750,,10.0,5.740,
9059,7000,B,1951-05-29T21:00,69.300,-000.117,,0.0,6.600,
9059,7000,B,1951-05-29T21:00,69.300,-000.117,,10.0,6.540,
9059,7001,B,1951-05-30T00:00,69.300,-001.117,,0.0,5.800,35.220
9059,7001,B,1951-05-30T00:00,69.300,-001.117,,10.0,5.890,35.250
9059,7002,B,1951-05-30T05:00,69.300,-002.150,,0.0,5.600,35.250
9059,7002,B,1951-05-30T05:00,69.300,-002.150,,10.0,5.630,35.280
9059,7003,B,1951-05-30T08:00,69.200,-003.050,,0.0,5.000,35.430
9059,7003,B,1951-05-30T08:00,69.200,-003.050,,10.0,5.230,35.430
9059,7004,B,1951-05-30T11:00,69.200,-003.982,,0.0,5.800,35.280
9059,7004,B,1951-05-30T11:00,69.200,-003.982,,10.0,5.770,35.300
9099,6977,B,1951-06-08T15:00,65.667,-000.500,,0.0,5.100,35.250
9099,6977,B,1951-06-08T15:00,65.667,-000.500,,10.0,5.560,35.210
9099,6983,B,1951-06-08T19:00,65.667,-001.300,,0.0,5.600,35.080
9099,6983,B,1951-06-08T19:00,65.667,-001.300,,10.0,5.880,35.080
9099,6995,B,1951-06-09T09:00,68.250,-000.517,,0.0,6.600,
9099,6995,B,1951-06-09T09:00,68.250,-000.517,,10.0,6.730,
9099,6996,B,1951-06-09T15:00,68.050,-001.482,,0.0,5.400,
9099,6996,B,1951-06-09T15:00,68.050,-001.482,,10.0,6.310,
9099,6987,B,1951-06-09T20:00,65.667,-002.100,,0.0,5.600,35.060
9099,6987,B,1951-06-09T20:00,65.667,-002.100,,10.0,5.820,35.080
58GS,206,B,1951-06-30T00:00,65.62,-001.13,3300,0,8.10,35.16
58GS,206,B,1951-06-30T00:00,65.62,-001.13,3300,10,8.05,35.18
58GS,207,B,1951-06-30T00:00,65.45,-002.72,3420,0,7.79,35.16
58GS,207,B,1951-06-30T00:00,65.45,-002.72,3420,10,7.68,35.14
58GS,210,B,1951-07-01T00:00,65.27,-004.27,3400,0,7.47,34.97
58GS,210,B,1951-07-01T00:00,65.27,-004.27,3400,10,7.25,34.95
58GS,315,B,1951-08-29T00:00,67.05,-003.22,3590,0,9.10,34.75
58GS,315,B,1951-08-29T00:00,67.05,-003.22,3590,10,8.99,35.00
58GS,314,B,1951-08-29T00:00,67.17,-000.83,3600,0,9.69,35.05
58GS,314,B,1951-08-29T00:00,67.17,-000.83,3600,10,9.64,35.08
9099,6997,B,1951-09-21T10:00,68.000,-002.732,,0.0,7.900,35.170
9099,6997,B,1951-09-21T10:00,68.000,-002.732,,10.0,8.060,35.160
9099,6994,B,1951-09-21T13:00,67.667,-002.500,,0.0,7.700,35.300
9099,6994,B,1951-09-21T13:00,67.667,-002.500,,10.0,7.820,35.210
9099,6993,B,1951-09-21T16:00,67.332,-002.482,,0.0,8.600,35.140
9099,6993,B,1951-09-21T16:00,67.332,-002.482,,10.0,8.650,35.080
9099,6992,B,1951-09-21T19:00,67.000,-002.332,,0.0,8.800,35.100
9099,6992,B,1951-09-21T19:00,67.000,-002.332,,10.0,8.840,35.100
9099,6991,B,1951-09-21T23:00,66.700,-002.167,,0.0,8.800,35.080
9099,6991,B,1951-09-21T23:00,66.700,-002.167,,10.0,8.800,35.080
9099,6989,B,1951-09-22T02:00,66.350,-001.700,,0.0,9.400,35.120
9099,6989,B,1951-09-22T02:00,66.350,-001.700,,10.0,9.290,35.120
9099,6988,B,1951-09-22T05:00,66.000,-001.532,,0.0,9.000,35.010
9099,6988,B,1951-09-22T05:00,66.000,-001.532,,10.0,9.040,35.010
9099,6984,B,1951-09-22T09:00,65.667,-001.382,,0.0,9.200,35.050
9099,6984,B,1951-09-22T09:00,65.667,-001.382,,10.0,9.150,35.080
9099,6980,B,1951-09-22T12:00,65.332,-001.232,,0.0,9.600,35.080
9099,6980,B,1951-09-22T12:00,65.332,-001.232,,10.0,9.640,35.080
9099,6986,B,1951-09-26T09:00,65.667,-002.000,,0.0,9.200,35.140
9099,6986,B,1951-09-26T09:00,65.667,-002.000,,10.0,9.280,35.250
9099,6982,B,1951-09-26T13:00,65.667,-001.167,,0.0,9.400,35.160
9099,6982,B,1951-09-26T13:00,65.667,-001.167,,10.0,9.470,35.160
9099,6976,B,1951-09-26T17:00,65.667,-000.432,,0.0,9.800,
9099,6976,B,1951-09-26T17:00,65.667,-000.432,,10.0,10.030,35.100
9099,6978,B,1951-09-26T20:00,65.667,-000.600,,0.0,9.500,35.230
9099,6978,B,1951-09-26T20:00,65.667,-000.600,,10.0,9.620,35.220
26DA,120,B,1951-11-22T00:00,65.00,-004.00,,0,5.94,34.96
26DA,120,B,1951-11-22T00:00,65.00,-004.00,,10,5.92,34.96
58GS,330,B,1951-11-27T04:00,67.22,-001.00,3650,0,6.18,35.198
58GS,330,B,1951-11-27T04:00,67.22,-001.00,3650,10,6.03,35.124
58GS,331,B,1951-11-27T10:00,67.12,-002.70,3500,0,5.13,35.053
58GS,331,B,1951-11-27T10:00,67.12,-002.70,3500,10,5.07,35.073
58GS,332,B,1951-11-27T18:00,67.03,-004.42,3500,0,5.52,35.142
