Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu]
2699,,B,1891-06-19T20:00,67.40,-010.88,,0,1.50,34.710
2699,,B,1891-06-20T08:00,68.23,-013.13,,0,-0.60,33.060
2699,,B,1891-06-20T20:00,68.15,-013.37,,0,-0.30,33.530
2699,,B,1891-06-21T08:00,68.08,-013.50,,0,-0.10,33.280
2699,,B,1891-06-21T20:00,68.30,-014.07,,0,0.70,33.830
2699,,B,1891-06-22T08:00,68.38,-014.07,,0,0.80,33.750
2699,,B,1891-06-22T20:00,68.32,-013.57,,0,-0.90,35.050
2699,,B,1891-06-22T22:00,68.40,-014.07,,0,-1.00,33.460
2699,,B,1891-06-23T09:00,68.22,-013.83,,0,-0.20,34.990
2699,,B,1891-06-23T21:00,68.25,-012.77,,0,-0.30,32.850
2699,,B,1891-06-24T08:00,68.73,-012.05,,0,-0.10,33.480
2699,,B,1891-06-24T20:00,69.35,-011.12,,0,-0.80,33.060
2699,,B,1891-06-25T08:00,69.85,-011.30,,0,-0.20,33.470
26IN,,B,1895-05-13T18:00,65.05,-012.48,,0,2.50,34.723
26IN,,B,1895-05-13T20:00,65.20,-012.62,,0,2.50,34.723
26IN,,B,1895-05-13T23:30,65.32,-013.03,,0,2.50,34.634
26IN,,B,1895-05-14T00:00,65.17,-012.93,,0,0.90,34.494
26IN,,B,1896-05-20T22:00,65.00,-011.27,,0,1.65,34.175
26IN,8512,B,1896-05-20T22:00,65.000,-011.267,580,0.0,1.650,34.300
26IN,,B,1896-05-21T04:00,65.00,-011.62,,0,0.70,33.936
26IN,,B,1896-05-21T08:00,65.15,-012.45,,0,1.70,34.235
26IN,166,B,1896-05-21T08:00,65.150,-012.450,230,0.0,1.700,34.360
26IN,168,B,1896-05-21T12:00,65.050,-013.100,100,0.0,2.400,34.410
26IN,,B,1896-05-21T12:00,65.05,-013.10,,0,2.40,34.285
99?M,,B,1896-05-24T01:00,65.42,-013.67,,0,2.80,32.693
99?M,,B,1896-05-24T22:00,65.75,-011.08,,0,2.80,32.997
26IN,165,B,1896-06-12T19:00,65.550,-010.467,920,0.0,6.100,33.630
99?5,,B,1896-06-14T12:00,66.37,-014.45,,0,2.80,33.148
99?5,,B,1896-06-14T18:00,65.67,-013.45,,0,3.90,32.966
99?5,,B,1896-06-14T23:59,65.00,-012.40,,0,3.10,33.765
26IN,,B,1896-07-09T08:00,66.45,-014.35,,0,5.30,33.558
26IN,,B,1896-07-09T09:00,66.38,-014.03,,0,4.80,33.229
26IN,171,B,1896-07-09T15:00,66.383,-012.083,1010,0.0,5.500,33.260
26IN,,B,1896-07-09T15:30,66.38,-012.08,,0,5.50,33.139
26IN,169,B,1896-07-10T00:00,66.383,-010.433,,0.0,4.500,32.820
26IN,,B,1896-07-10T00:20,66.38,-010.47,,0,4.50,32.701
26IN,,B,1896-07-12T19:16,65.55,-010.47,,0,6.10,33.508
26IN,,B,1896-07-13T00:00,65.53,-010.88,,0,5.90,33.269
26IN,167,B,1896-07-13T03:00,65.500,-012.000,180,0.0,5.900,33.360
26IN,,B,1896-07-13T03:00,65.50,-012.00,,0,5.90,33.239
26IN,,B,1896-07-18T11:15,65.48,-013.42,,0,4.80,33.129
26IN,,B,1896-07-18T16:00,66.07,-014.10,,0,4.90,33.428
26IN,,B,1896-07-19T08:00,66.37,-014.27,,0,5.80,33.518
26IN,,B,1896-07-19T12:00,66.28,-013.02,,0,6.10,33.428
26IN,,B,1896-07-19T16:00,66.40,-011.92,,0,5.90,33.199
26IN,170,B,1896-07-19T18:00,66.733,-011.550,,0.0,5.300,33.260
26IN,,B,1896-07-19T18:30,66.73,-011.55,,0,5.30,33.139
26IN,,B,1896-07-20T04:00,67.10,-010.18,,0,5.40,33.159
26IN,,B,1896-07-24T23:00,67.88,-010.32,,0,5.00,33.259
26IN,,B,1896-07-25T08:00,67.50,-011.67,,0,4.50,33.179
26IN,172,B,1896-07-25T09:00,67.483,-011.533,,0.0,5.100,33.350
26IN,,B,1896-07-25T16:00,67.35,-012.03,,0,5.10,33.249
26IN,9242,B,1896-07-25T20:00,66.983,-013.183,990,0.0,4.800,33.590
26IN,,B,1896-07-25T20:15,66.98,-013.18,,0,4.80,33.468
26IN,,B,1896-07-26T05:00,66.70,-014.73,,0,6.00,33.448
26IN,9243,B,1896-07-26T05:00,66.700,-014.733,210,0.0,6.000,33.570
99?7,,B,1896-08-08T12:00,65.17,-013.37,,0,7.20,33.442
99?7,,B,1896-08-08T23:59,66.38,-014.57,,0,8.30,32.906
745A,,B,1896-08-24T12:00,66.90,-013.50,,0,5.60,33.492
745A,,B,1896-08-25T12:00,65.25,-010.50,,0,6.90,33.300
58HE,48,B,1897-04-09T17:00,66.85,-014.92,,0,1.50,34.376
58HE,49,B,1897-04-10T00:30,67.27,-013.07,,0,-1.20,34.174
58HE,50,B,1897-04-10T05:00,67.45,-012.17,,0,-0.90,34.104
58HE,51,B,1897-04-10T08:00,67.40,-010.00,,0,-1.20,34.074
5899,29,B,1897-05-15T08:00,67.48,-010.50,,0,-1.00,34.205
58HE,98,B,1897-05-16T12:00,67.48,-010.25,,0,-0.04,34.336
58HE,99,B,1897-05-17T12:00,67.60,-010.63,,0,-0.20,34.336
58HE,100,B,1897-05-18T12:00,67.50,-010.38,,0,-0.30,34.376
58HE,101,B,1897-05-19T12:00,67.62,-011.28,,0,-0.20,34.306
58HE,102,B,1897-05-20T12:00,67.63,-010.97,,0,0.40,34.376
58HE,103,B,1897-05-21T12:00,67.38,-011.45,,0,0.80,34.669
58WE,51,B,1897-07-16T20:00,66.12,-013.85,,0,6.70,34.408
58WE,52,B,1897-07-17T00:00,65.97,-013.25,,0,5.50,34.610
58WE,53,B,1897-07-17T03:00,65.87,-012.87,,0,8.00,33.713
58WE,54,B,1897-07-17T06:00,65.72,-012.35,,0,6.00,34.297
58WE,55,B,1897-07-17T15:00,65.53,-011.53,,0,6.70,34.610
58WE,56,B,1897-07-17T20:00,65.28,-010.87,,0,5.70,34.499
58WE,57,B,1897-07-17T23:00,65.08,-010.42,,0,6.50,34.479
2699,2,B,1898-05-06T11:30,65.13,-011.83,,0,1.80,34.584
58HE,797,B,1898-05-15T12:00,67.50,-010.60,,0,-0.80,34.629
58HE,798,B,1898-05-15T20:00,67.30,-010.80,,0,-1.00,34.579
